0, 0, 0, 0, 0
0.05, 0.0025, 0.000125, 0.223607, 0.368403
0.1, 0.01, 0.001, 0.316228, 0.464159
0.15, 0.0225, 0.003375, 0.387298, 0.531329
0.2, 0.04, 0.008, 0.447214, 0.584804
0.25, 0.0625, 0.015625, 0.5, 0.629961
0.3, 0.09, 0.027, 0.547723, 0.669433
0.35, 0.1225, 0.042875, 0.591608, 0.70473
0.4, 0.16, 0.064, 0.632456, 0.736806
0.45, 0.2025, 0.091125, 0.67082, 0.766309
0.5, 0.25, 0.125, 0.707107, 0.793701
0.55, 0.3025, 0.166375, 0.74162, 0.819321
0.6, 0.36, 0.216, 0.774597, 0.843433
0.65, 0.4225, 0.274625, 0.806226, 0.866239
0.7, 0.49, 0.343, 0.83666, 0.887904
0.75, 0.5625, 0.421875, 0.866025, 0.90856
0.8, 0.64, 0.512, 0.894427, 0.928318
0.85, 0.7225, 0.614125, 0.921955, 0.947268
0.9, 0.81, 0.729, 0.948683, 0.965489
0.95, 0.9025, 0.857375, 0.97468, 0.983048
